# schema=1
# code_point,name,keywords,category
# Rows are grouped by category in the order arrows, blocks, shapes, powerline, technical, terminal_marks and ascend by code point inside a group.
# Every row is reviewed by hand: a glyph only earns a row when it is worth a key cap, and Paint.hasGlyph drops the rest per device at runtime.
2190,leftwards arrow,left west back arrow,arrows
2191,upwards arrow,up north arrow,arrows
2192,rightwards arrow,right east forward arrow,arrows
2193,downwards arrow,down south arrow,arrows
2194,left right arrow,horizontal both arrow,arrows
2195,up down arrow,vertical both arrow,arrows
2196,north west arrow,up left diagonal arrow,arrows
2197,north east arrow,up right diagonal arrow,arrows
2198,south east arrow,down right diagonal arrow,arrows
2199,south west arrow,down left diagonal arrow,arrows
219A,leftwards arrow with stroke,left not blocked arrow,arrows
219B,rightwards arrow with stroke,right not blocked arrow,arrows
219E,leftwards two headed arrow,left fast page arrow,arrows
219F,upwards two headed arrow,up fast page arrow,arrows
21A0,rightwards two headed arrow,right fast page arrow,arrows
21A1,downwards two headed arrow,down fast page arrow,arrows
21A2,leftwards arrow with tail,left tail arrow,arrows
21A3,rightwards arrow with tail,right tail arrow,arrows
21A4,leftwards arrow from bar,left home start arrow,arrows
21A5,upwards arrow from bar,up bar arrow,arrows
21A6,rightwards arrow from bar,right end bar arrow,arrows
21A7,downwards arrow from bar,down bar arrow,arrows
21A8,up down arrow with base,vertical base arrow,arrows
21AA,rightwards arrow with hook,redo forward hook arrow,arrows
21B0,upwards arrow with tip leftwards,up left corner arrow,arrows
21B1,upwards arrow with tip rightwards,up right corner arrow,arrows
21B2,downwards arrow with tip leftwards,down left corner arrow,arrows
21B3,downwards arrow with tip rightwards,down right corner arrow,arrows
21B4,rightwards arrow with corner downwards,wrap newline arrow,arrows
21B6,anticlockwise top semicircle arrow,undo back arrow,arrows
21B7,clockwise top semicircle arrow,redo arrow,arrows
21BA,anticlockwise open circle arrow,reload refresh rotate arrow,arrows
21BB,clockwise open circle arrow,reload refresh rotate arrow,arrows
21C4,rightwards arrow over leftwards arrow,swap exchange sync arrow,arrows
21C5,upwards arrow leftwards of downwards arrow,swap vertical sync arrow,arrows
21C6,leftwards arrow over rightwards arrow,swap exchange sync arrow,arrows
21C7,leftwards paired arrows,left double arrow,arrows
21C8,upwards paired arrows,up double arrow,arrows
21C9,rightwards paired arrows,right double arrow,arrows
21CA,downwards paired arrows,down double arrow,arrows
21CB,leftwards harpoon over rightwards harpoon,harpoon swap arrow,arrows
21CC,rightwards harpoon over leftwards harpoon,harpoon swap arrow,arrows
21D0,leftwards double arrow,left implies arrow,arrows
21D1,upwards double arrow,up arrow,arrows
21D2,rightwards double arrow,right implies arrow,arrows
21D3,downwards double arrow,down arrow,arrows
21D4,left right double arrow,equivalent both arrow,arrows
21D5,up down double arrow,vertical both arrow,arrows
21DA,leftwards triple arrow,left triple arrow,arrows
21DB,rightwards triple arrow,right triple arrow,arrows
21E0,leftwards dashed arrow,left dashed arrow,arrows
21E1,upwards dashed arrow,up dashed arrow,arrows
21E2,rightwards dashed arrow,right dashed arrow,arrows
21E3,downwards dashed arrow,down dashed arrow,arrows
21E6,leftwards white arrow,left hollow arrow,arrows
21E8,rightwards white arrow,right hollow arrow,arrows
21E9,downwards white arrow,down hollow arrow,arrows
21F5,downwards arrow leftwards of upwards arrow,swap vertical arrow,arrows
2934,arrow pointing rightwards then curving upwards,reply up curve arrow,arrows
2935,arrow pointing rightwards then curving downwards,reply down curve arrow,arrows
2500,box drawings light horizontal,line horizontal rule box,blocks
2501,box drawings heavy horizontal,line horizontal bold box,blocks
2502,box drawings light vertical,line vertical divider box,blocks
2503,box drawings heavy vertical,line vertical bold box,blocks
2504,box drawings light triple dash horizontal,dashed horizontal box,blocks
2505,box drawings heavy triple dash horizontal,dashed horizontal bold box,blocks
2506,box drawings light triple dash vertical,dashed vertical box,blocks
2507,box drawings heavy triple dash vertical,dashed vertical bold box,blocks
2508,box drawings light quadruple dash horizontal,dotted horizontal box,blocks
250A,box drawings light quadruple dash vertical,dotted vertical box,blocks
250C,box drawings light down and right,corner top left box,blocks
250F,box drawings heavy down and right,corner top left bold box,blocks
2510,box drawings light down and left,corner top right box,blocks
2513,box drawings heavy down and left,corner top right bold box,blocks
2514,box drawings light up and right,corner bottom left box,blocks
2517,box drawings heavy up and right,corner bottom left bold box,blocks
2518,box drawings light up and left,corner bottom right box,blocks
251B,box drawings heavy up and left,corner bottom right bold box,blocks
251C,box drawings light vertical and right,tee left branch box,blocks
2523,box drawings heavy vertical and right,tee left branch bold box,blocks
2524,box drawings light vertical and left,tee right box,blocks
252B,box drawings heavy vertical and left,tee right bold box,blocks
252C,box drawings light down and horizontal,tee down box,blocks
2533,box drawings heavy down and horizontal,tee down bold box,blocks
2534,box drawings light up and horizontal,tee up box,blocks
253B,box drawings heavy up and horizontal,tee up bold box,blocks
253C,box drawings light vertical and horizontal,cross plus box,blocks
254B,box drawings heavy vertical and horizontal,cross plus bold box,blocks
254C,box drawings light double dash horizontal,dashed horizontal box,blocks
254E,box drawings light double dash vertical,dashed vertical box,blocks
2550,box drawings double horizontal,line horizontal double box,blocks
2551,box drawings double vertical,line vertical double box,blocks
2554,box drawings double down and right,corner top left double box,blocks
2557,box drawings double down and left,corner top right double box,blocks
255A,box drawings double up and right,corner bottom left double box,blocks
255D,box drawings double up and left,corner bottom right double box,blocks
2560,box drawings double vertical and right,tee left double box,blocks
2563,box drawings double vertical and left,tee right double box,blocks
2566,box drawings double down and horizontal,tee down double box,blocks
2569,box drawings double up and horizontal,tee up double box,blocks
256C,box drawings double vertical and horizontal,cross double box,blocks
256D,box drawings light arc down and right,corner rounded top left box,blocks
256E,box drawings light arc down and left,corner rounded top right box,blocks
256F,box drawings light arc up and left,corner rounded bottom right box,blocks
2570,box drawings light arc up and right,corner rounded bottom left box,blocks
2571,box drawings light diagonal upper right to lower left,slash diagonal box,blocks
2572,box drawings light diagonal upper left to lower right,backslash diagonal box,blocks
2573,box drawings light diagonal cross,cross diagonal box,blocks
2574,box drawings light left,stub left box,blocks
2575,box drawings light up,stub up box,blocks
2576,box drawings light right,stub right box,blocks
2577,box drawings light down,stub down box,blocks
2580,upper half block,block half top,blocks
2581,lower one eighth block,block bar meter eighth,blocks
2582,lower one quarter block,block bar meter quarter,blocks
2583,lower three eighths block,block bar meter,blocks
2584,lower half block,block half bottom,blocks
2585,lower five eighths block,block bar meter,blocks
2586,lower three quarters block,block bar meter,blocks
2587,lower seven eighths block,block bar meter,blocks
2588,full block,block solid full bar,blocks
2589,left seven eighths block,block bar meter,blocks
258A,left three quarters block,block bar meter,blocks
258B,left five eighths block,block bar meter,blocks
258C,left half block,block half left,blocks
258D,left three eighths block,block bar meter,blocks
258E,left one quarter block,block bar meter,blocks
258F,left one eighth block,block bar meter gutter,blocks
2590,right half block,block half right,blocks
2591,light shade,shade dither pattern light,blocks
2592,medium shade,shade dither pattern medium,blocks
2593,dark shade,shade dither pattern dark,blocks
2594,upper one eighth block,block thin top rule,blocks
2595,right one eighth block,block thin right gutter,blocks
2596,quadrant lower left,quadrant block,blocks
2597,quadrant lower right,quadrant block,blocks
2598,quadrant upper left,quadrant block,blocks
2599,quadrant upper left and lower left and lower right,quadrant block,blocks
259A,quadrant upper left and lower right,quadrant block checker,blocks
259B,quadrant upper left and upper right and lower left,quadrant block,blocks
259C,quadrant upper left and upper right and lower right,quadrant block,blocks
259D,quadrant upper right,quadrant block,blocks
259E,quadrant upper right and lower left,quadrant block checker,blocks
259F,quadrant upper right and lower left and lower right,quadrant block,blocks
25A0,black square,square filled solid,shapes
